Ticker,Name,CUSIP,URL,FundCategory,FundSubCategory,ActiveOrPassive,Sector,Geography,Asset Class,Last Close Price,One Month Return,Standard Deviation (annual),Risk Score,Style,Controversy,Environmental,Governance,Social,Sustainability,Has Tobacco,Has Alcohol,Has Gambling,Has Military,Has Fossil Fuels,Benchmark - Conservative (income-focused),Benchmark - Moderate,Benchmark - Balanced,Benchmark - Growth,Benchmark - Aggressive Growth,Benchmark - Most Aggressive Growth
FTBFX,Fidelity Total Bond Fund ,31617K881,https://fundresearch.fidelity.com/mutual-funds/summary/31617K881,FixedIncome,DiversifiedOpportunistic,Active,Diversified,International,Corporate Bonds,10.71,0.0043,0.0307,3,Medium Value,High,High,Average,High,Average,1,0,0,0,1,0.4,0,0,0,0,0
FAGIX,Fidelity Capital & Income Fund ,316062108,https://fundresearch.fidelity.com/mutual-funds/summary/316062108,FixedIncome,DiversifiedOpportunistic,Active,Diversified,International,Corporate Bonds,10.18,0.0089,0.0612,4,Large Growth,Low,High,Low,Average,Average,0,1,1,1,0,0,0,0,0,0,0
FTHRX,Fidelity Intermediate Bond ,315912105,https://fundresearch.fidelity.com/mutual-funds/summary/315912105,FixedIncome,DiversifiedOpportunistic,Active,Diversified,International,Corporate Bonds,10.91,0.0089,0.0219,2,Limited Medium,High,High,Low,High,Average,1,1,1,1,1,0,0.4,0.15,0.25,0.15,0.15
FBNDX,FidelityÂInvestment Grade Bond ,316146109,https://fundresearch.fidelity.com/mutual-funds/summary/316146109,FixedIncome,DiversifiedOpportunistic,Active,Diversified,International,Corporate Bonds,7.94,0.0089,0.0315,3,Moderate Medium,Low,Low,Average,Low,Low,1,0,1,1,1,0.1,0,0.15,0,0,0
FGBFX,Fidelity Global Credit Fund ,31638R881,https://fundresearch.fidelity.com/mutual-funds/summary/31638R881,FixedIncome,International,Active,Diversified,International,Corporate Bonds,9.16,0.0022,0.0548,4,Extensive Medium,Average,Low,Low,High,Low,0,0,0,1,1,0,0,0,0,0,0
FNMIX,Fidelity New Markets Income Fund ,315910836,https://fundresearch.fidelity.com/mutual-funds/summary/315910836,FixedIncome,International,Active,Diversified,International,Corporate Bonds,16.27,0.0022,0.0737,5,Large Value,Low,High,High,Low,Low,1,0,1,0,0,0,0,0,0,0,0
FGHNX,Fidelity Global High Income Fund ,31641Q854,https://fundresearch.fidelity.com/mutual-funds/summary/31641Q854,FixedIncome,International,Active,Diversified,International,Corporate Bonds,9.71,0.014,0.0609,4,Medium Value,High,Average,Low,Low,High,0,0,1,0,1,0,0,0,0,0,0
FHIFX,Fidelity Focused High Income Fund ,316146794,https://fundresearch.fidelity.com/mutual-funds/summary/316146794,FixedIncome,HighYield,Active,Diversified,International,Corporate Bonds,8.72,0.0057,0.0533,4,None,Low,High,Low,Low,Average,1,0,0,0,0,0,0,0,0,0,0
FHIGX,Fidelity Municipal Income Fund ,316089507,https://fundresearch.fidelity.com/mutual-funds/summary/316089507,FixedIncome,MunicipalNational,Active,Diversified,Domestic,Municipal Bonds,13.21,0.015161002,0.037,3,Extensive Medium,Average,Average,Low,High,Low,1,1,0,0,0,0,0,0,0,0,0
FLTMX,Fidelity Intermediate Municipal Income Fund ,31638R204,https://fundresearch.fidelity.com/mutual-funds/summary/31638R204,FixedIncome,MunicipalNational,Active,Diversified,Domestic,Municipal Bonds,10.42,0.015537164,0.0274,2,Moderate Medium,Low,Average,Average,Low,Average,0,1,1,0,1,0,0,0,0,0,0
FMCFX,Fidelity Municipal Income 2019 Fund ,316146448,https://fundresearch.fidelity.com/mutual-funds/summary/316146448,FixedIncome,MunicipalNational,Active,Diversified,Domestic,Municipal Bonds,10.66,0.010059293,0.0167,2,Limited Medium,Average,Low,Low,High,Low,1,1,1,0,1,0,0,0,0,0,0
